,northing,easting
0,-138282.49950000085,221784.6964
1,-138267.10129999928,238487.3089
2,-138257.29930000007,249621.3946
3,-165939.10050000064,221813.7036
4,-165920.59869999997,238514.5911
5,-165908.90080000088,249647.4054
6,-149328.5,238497.6
